alias,canonical
a vitamini,retinol (A)
abilify,aripiprazole
acetylsalicylic acid,aspirin
apap,acetaminophen
asa,aspirin
asetilsalisilik asit,aspirin
ativan,lorazepam
cbd,Cannabidiol
coke,cocaine
coumadin,warfarin
crystal meth,methamphetamine
d2 vitamini,ergocalciferol (D2)
d3 vitamini,cholecalciferol (D3)
delta 9 thc,Dronabinol
delta-9-thc,Dronabinol
depakote,valproic acid
diacetylmorphine,Diamorphine
e vitamini,alpha-tocopherol (E)
ecstasy,MDMA
elavil,amitriptyline
ghb,Sodium oxybate
heroin,Diamorphine
inderal,propranolol
k1 vitamini,phytonadione (K1)
kokain,cocaine
lanoxin,digoxin
lasix,Furosemide
latuda,lurasidone
lidokain,lidocaine
marcaine,bupivacaine
meth,methamphetamine
molly,MDMA
norvasc,amlodipine
panadol,acetaminophen
paracetamol,acetaminophen
parasetamol,acetaminophen
procardia,nifedipine
risperdal,risperidone
seroquel,quetiapine
sodium valproate,valproic acid
special k,Ketamine
speed,amphetamine
tetrahydrocannabinol,Dronabinol
thc,Dronabinol
tylenol,acetaminophen
valium,diazepam
valproate,valproic acid
versed,midazolam
vitamin a,retinol (A)
vitamin d2,ergocalciferol (D2)
vitamin d3,cholecalciferol (D3)
vitamin e,alpha-tocopherol (E)
vitamin k1,phytonadione (K1)
xanax,alprazolam
zyprexa,olanzapine
