name,logP,logD,Vd,PPB,MW,theory_score,ile_prob,category,ad_flag,rank
Lumefantrine co-artemether,57.751,7.932,118.529,73.88,529.0,60.0,100.0,High,ok,1
Probucol,9.908,5.711,15.771,109.714,516.9,60.0,99.9,High,ok,2
Ivermectin,10.813,6.109,14.491,122.707,875.1,60.0,99.9,High,domain-edge (prediction unreliable),3
Ubidecarenone,17.854,5.459,1.309,116.601,863.4,95.3,99.8,High,domain-edge (prediction unreliable),4
Beta carotene,12.606,5.239,2.658,110.42,536.9,83.0,99.8,High,ok,5
Ubiquinol,18.471,5.508,1.36,115.507,865.4,94.7,99.8,High,domain-edge (prediction unreliable),6
Zeaxanthin,10.547,5.237,3.087,109.718,568.9,80.4,99.8,High,ok,7
Lutein,10.403,5.203,3.406,109.444,568.9,78.7,99.7,High,ok,8
Lycopene,12.938,5.047,1.996,111.266,536.9,88.0,99.7,High,ok,9
Bisoctrizole,9.584,5.047,3.965,108.76,658.9,76.1,99.7,High,domain-edge (prediction unreliable),10
Pibrentasvir,9.448,5.087,11.988,103.856,1113.2,60.0,99.7,High,domain-edge (prediction unreliable),11
Ombitasvir,7.687,4.921,4.264,106.975,894.1,74.8,99.6,High,domain-edge (prediction unreliable),12
Estradiol dienanthate,8.301,4.803,6.382,110.308,496.7,67.8,99.6,High,ok,13
Drometrizole trisiloxane,6.388,4.928,10.407,108.317,501.9,60.0,99.6,High,ok,14
Squalene,10.605,4.808,6.496,109.598,410.7,67.5,99.6,High,ok,15
Testosterone enantate benzilic acid hydrazone,8.24,4.807,-1.479,111.658,624.9,100.0,99.6,High,domain-edge (prediction unreliable),16
Aripiprazole lauroxil,8.675,4.704,13.882,110.899,660.7,60.0,99.5,High,domain-edge (prediction unreliable),17
Ergosterol,7.331,4.683,7.442,106.391,396.7,65.1,99.5,High,ok,18
Ergocalciferol,7.641,4.677,7.455,106.246,396.7,65.1,99.5,High,ok,19
Bemotrizinol,9.483,4.794,4.519,109.389,627.8,73.8,99.5,High,domain-edge (prediction unreliable),20
1-Palmitoyl-2-oleoyl-sn-glycero-3-(phospho-rac-(1-glycerol)),10.447,4.665,12.049,113.392,749.0,60.0,99.5,High,domain-edge (prediction unreliable),21
Dihydrotachysterol,7.721,4.677,7.168,106.318,398.7,65.8,99.5,High,ok,22
Crinecerfont,7.517,4.773,6.492,105.444,483.1,67.5,99.5,High,ok,23
D-alpha-Tocopherol acetate,9.06,4.605,18.366,104.519,472.8,60.0,99.4,High,ok,24
Lercanidipine,6.478,4.609,4.877,106.536,611.7,72.5,99.4,High,domain-edge (prediction unreliable),25
Doxercalciferol,6.612,4.551,6.758,106.188,412.7,66.8,99.4,High,ok,26
Gramicidin D,4.868,4.586,-1.438,112.491,1811.3,100.0,99.4,High,domain-edge (prediction unreliable),27
Ivacaftor,5.081,4.631,3.948,107.817,392.5,76.1,99.4,High,ok,28
Spinosad,11.365,4.627,13.584,108.826,746.0,60.0,99.4,High,domain-edge (prediction unreliable),29
Zinc dibutyldithiocarbamate,5.438,4.58,13.322,104.322,204.4,60.0,99.4,High,ok,30
Tazarotene,4.432,4.589,8.969,105.903,351.5,61.9,99.4,High,ok,31
Chloramphenicol palmitate,6.941,4.585,8.053,110.888,561.5,63.8,99.4,High,ok,32
"1,2-Docosahexanoyl-sn-glycero-3-phosphoserine",11.943,4.606,0.286,115.489,880.1,100.0,99.4,High,domain-edge (prediction unreliable),33
Vitamin E,8.84,4.569,16.616,105.286,430.7,60.0,99.4,High,ok,34
Cyclosporine,3.269,4.567,7.593,98.142,1202.6,64.8,99.4,High,domain-edge (prediction unreliable),35
Octocrylene,5.772,4.567,0.759,110.142,361.5,100.0,99.4,High,ok,36
Cholecalciferol,7.619,4.598,10.155,105.602,384.6,60.0,99.4,High,ok,37
Triheptanoin,5.896,4.453,8.471,108.804,428.6,62.9,99.3,High,ok,38
Manidipine,4.953,4.474,1.688,108.947,610.7,90.9,99.3,High,domain-edge (prediction unreliable),39
Cholesterol,7.389,4.511,9.578,105.991,386.7,60.7,99.3,High,ok,40
Ospemifene,5.646,4.453,1.325,107.362,378.9,95.1,99.3,High,ok,41
Permethrin,6.113,4.434,5.62,103.766,391.3,70.0,99.3,High,ok,42
DL-alpha-Tocopherol,8.84,4.475,18.138,103.631,430.7,60.0,99.3,High,ok,43
DL-alpha tocopheryl acetate,9.06,4.52,19.854,103.019,472.8,60.0,99.3,High,ok,44
Glycerol phenylbutyrate,6.053,4.524,-4.151,111.684,530.7,100.0,99.3,High,ok,45
Almitrine,4.257,4.439,5.366,103.628,477.6,70.8,99.3,High,ok,46
Estradiol cypionate,6.131,4.505,0.789,107.979,396.6,100.0,99.3,High,ok,47
Alfacalcidol,6.59,4.488,9.608,105.704,400.6,60.7,99.3,High,ok,48
Ethylhexyl methoxycrylene,5.78,4.53,0.659,110.305,391.5,100.0,99.3,High,ok,49
Voclosporin,3.435,4.517,6.86,97.415,1214.6,66.5,99.3,High,domain-edge (prediction unreliable),50
Estramustine,5.182,4.454,6.411,104.301,440.4,67.7,99.3,High,ok,51
Fidaxomicin,6.234,4.455,7.479,115.672,1058.1,65.0,99.3,High,domain-edge (prediction unreliable),52
Quinestrol,5.228,4.509,4.77,105.773,364.5,72.9,99.3,High,ok,53
Buclizine,6.545,4.434,10.385,104.416,433.0,60.0,99.3,High,ok,54
Avacopan,8.048,4.533,9.479,101.453,581.7,60.9,99.3,High,ok,55
Cannabidiol,5.847,4.527,5.447,104.848,314.5,70.6,99.3,High,ok,56
Phylloquinone,9.158,4.46,12.221,107.14,450.7,60.0,99.3,High,ok,57
Sonidegib,5.822,4.461,6.283,102.098,485.5,68.1,99.3,High,ok,58
Ledipasvir,8.607,4.381,-1.071,106.196,889.0,100.0,99.2,High,domain-edge (prediction unreliable),59
Nandrolone decanoate,7.181,4.368,4.314,107.961,428.7,74.6,99.2,High,ok,60
Fulvestrant,8.683,4.356,9.307,105.862,606.8,61.2,99.2,High,domain-edge (prediction unreliable),61
Estradiol benzoate,5.123,4.343,1.059,107.238,376.5,99.0,99.2,High,ok,62
Etretinate,5.646,4.363,2.586,103.124,354.5,83.5,99.2,High,ok,63
Lacidipine,4.403,4.391,4.82,106.432,455.6,72.7,99.2,High,ok,64
Desogestrel,4.87,4.348,4.12,103.156,310.5,75.4,99.2,High,ok,65
Lurasidone,4.256,4.377,2.159,108.005,492.7,86.6,99.2,High,ok,66
Talc,-4.207,4.382,5.246,108.397,24.3,71.2,99.2,High,domain-edge (prediction unreliable),67
Omaveloxolone,6.73,4.362,2.899,107.092,554.7,81.5,99.2,High,ok,68
Clotrimazole,5.377,4.368,3.306,102.59,344.8,79.2,99.2,High,ok,69
Prasterone enantate,6.401,4.418,4.348,107.078,400.6,74.5,99.2,High,ok,70
Orlistat,6.882,4.355,10.07,108.278,495.7,60.0,99.2,High,ok,71
Testosterone undecanoate,7.961,4.425,4.702,108.784,456.7,73.1,99.2,High,ok,72
DL-dimyristoylphosphatidylglycerol,8.33,4.298,11.492,110.206,666.9,60.0,99.1,High,domain-edge (prediction unreliable),73
Lumefantrine,9.152,4.332,27.53,98.65,529.0,60.0,99.1,High,ok,74
Delamanid,4.968,4.263,3.506,102.695,534.5,78.2,99.1,High,ok,75
Itraconazole,5.577,4.324,7.445,101.85,705.6,65.1,99.1,High,domain-edge (prediction unreliable),76
Icosapent ethyl,6.471,4.333,5.842,101.17,330.5,69.3,99.1,High,ok,77
Estradiol valerate,5.35,4.277,2.561,104.946,356.5,83.7,99.1,High,ok,78
Toremifene,6.215,4.269,6.207,105.678,406.0,68.3,99.1,High,ok,79
Quizartinib,5.857,4.283,9.165,103.269,560.7,61.5,99.1,High,ok,80
Umbralisib,6.663,4.322,6.208,101.539,571.6,68.3,99.1,High,ok,81
Dronabinol,5.736,4.298,6.827,104.336,314.5,66.6,99.1,High,ok,82
Iophendylate,6.079,4.323,14.536,104.112,416.3,60.0,99.1,High,ok,83
Tolnaftate,4.948,4.312,-0.48,104.206,307.4,100.0,99.1,High,ok,84
Testosterone cypionate,6.401,4.268,0.258,107.43,412.6,100.0,99.1,High,ok,85
Mitotane,5.929,4.291,12.242,98.804,320.0,60.0,99.1,High,ok,86
Attapulgite,-6.948,4.251,4.181,108.296,18.0,75.1,99.0,High,domain-edge (prediction unreliable),87
Elinzanetant,6.056,4.224,11.104,100.791,668.7,60.0,99.0,High,domain-edge (prediction unreliable),88
Testosterone enanthate,6.401,4.233,2.77,106.512,400.6,82.3,99.0,High,ok,89
Phosphatidyl serine,11.51,4.235,7.03,116.097,792.1,66.1,99.0,High,domain-edge (prediction unreliable),90
Haloprogin,4.422,4.258,18.017,96.216,361.4,60.0,99.0,High,ok,91
Sirolimus,6.181,4.19,4.223,107.337,914.2,75.0,99.0,High,domain-edge (prediction unreliable),92
"1,2-Distearoyllecithin",12.172,4.225,19.996,107.213,790.2,60.0,99.0,High,domain-edge (prediction unreliable),93
Temsirolimus,5.722,4.206,4.392,111.588,1030.3,74.3,99.0,High,domain-edge (prediction unreliable),94
"1,2-icosapentoyl-sn-glycero-3-phosphoserine",11.22,4.161,0.296,112.903,842.1,100.0,98.9,High,domain-edge (prediction unreliable),95
Chlorotrianisene,5.868,4.14,-0.396,105.245,380.9,100.0,98.9,High,ok,96
Lotilaner,6.007,4.174,9.413,98.732,596.8,61.1,98.9,High,ok,97
Meclizine,5.556,4.125,8.053,102.55,391.0,63.8,98.9,High,ok,98
Moxidectin,5.729,4.143,5.709,104.929,639.8,69.7,98.9,High,domain-edge (prediction unreliable),99
Fluticasone furoate,4.927,4.142,2.966,103.152,538.6,81.1,98.9,High,ok,100
Vorapaxar,5.63,4.186,1.553,105.302,492.6,92.4,98.9,High,ok,101
Hexachlorophene,6.609,4.153,16.113,95.95,406.9,60.0,98.9,High,ok,102
Ferumoxytol,-0.483,4.172,7.396,106.087,55.8,65.2,98.9,High,domain-edge (prediction unreliable),103
Cabazitaxel,4.568,4.177,8.664,106.071,835.9,62.5,98.9,High,domain-edge (prediction unreliable),104
Tamoxifen,5.996,4.172,5.695,105.534,371.5,69.8,98.9,High,ok,105
Perfluorohexyloctane,7.476,4.144,13.155,98.524,432.3,60.0,98.9,High,ok,106
Nandrolone phenpropionate,5.673,4.169,-2.488,107.544,406.6,100.0,98.9,High,ok,107
Netupitant,6.787,4.161,9.206,99.846,578.6,61.4,98.9,High,ok,108
Nabilone,6.264,4.147,7.543,105.548,372.5,64.9,98.9,High,ok,109
Butenafine,5.769,4.066,5.384,102.393,317.5,70.8,98.8,High,ok,110
Flunarizine,5.385,4.083,6.005,102.053,404.5,68.9,98.8,High,ok,111
Tipranavir,7.326,4.079,-2.382,105.936,602.7,100.0,98.8,High,domain-edge (prediction unreliable),112
Rimonabant,5.939,4.072,13.045,100.154,463.8,60.0,98.8,High,ok,113
Butoconazole,6.637,4.084,13.775,97.24,411.8,60.0,98.8,High,ok,114
Suvorexant,4.111,4.112,5.799,102.827,450.9,69.5,98.8,High,ok,115
Triclocarban,5.291,4.061,14.762,96.234,315.6,60.0,98.8,High,ok,116
Triclabendazole,6.037,4.106,12.935,100.114,359.7,60.0,98.8,High,ok,117
Danazol,4.221,4.094,3.157,102.965,337.5,80.0,98.8,High,ok,118
Menthyl salicylate,4.01,4.062,4.344,102.515,276.4,74.5,98.8,High,ok,119
Antrafenine,6.995,4.118,10.204,100.48,588.6,60.0,98.8,High,ok,120
Diethylamino hydroxybenzoyl hexyl benzoate,5.207,4.104,12.304,103.508,397.5,60.0,98.8,High,ok,121
Lynestrenol,4.314,4.106,3.507,102.152,284.4,78.2,98.8,High,ok,122
Hydroxyprogesterone caproate,5.97,4.113,0.918,107.885,428.6,100.0,98.8,High,ok,123
Elbasvir,8.116,4.11,-0.18,103.622,882.0,100.0,98.8,High,domain-edge (prediction unreliable),124
Lomitapide,8.382,4.067,10.353,100.115,693.7,60.0,98.8,High,domain-edge (prediction unreliable),125
Gestonorone caproate,5.58,4.07,0.895,107.099,414.6,100.0,98.8,High,ok,126
Everolimus,6.197,4.064,6.283,106.753,958.2,68.1,98.8,High,domain-edge (prediction unreliable),127
Diphenoxylate,5.483,4.117,0.556,102.301,452.6,100.0,98.8,High,ok,128
Lidoflazine,5.75,4.046,10.697,100.955,491.6,60.0,98.7,High,ok,129
Aluminum oxide,-1.118,4.006,6.462,105.576,27.0,67.6,98.7,High,domain-edge (prediction unreliable),130
Dutasteride,6.576,4.058,5.955,101.762,528.5,69.0,98.7,High,ok,131
Calcifediol,6.734,4.039,8.239,100.411,400.6,63.4,98.7,High,ok,132
"N-Cyclohexyl-N'-phenyl-1,4-phenylenediamine",5.175,4.046,13.543,100.599,266.4,60.0,98.7,High,ok,133
Docosanol,7.801,4.047,17.363,103.255,326.6,60.0,98.7,High,ok,134
Diacetyl benzoyl lathyrol,5.239,4.008,1.001,106.785,522.6,100.0,98.7,High,ok,135
Asunaprevir,3.854,4.046,3.061,103.678,748.3,80.6,98.7,High,domain-edge (prediction unreliable),136
Pimozide,5.857,4.009,10.448,100.53,461.6,60.0,98.7,High,ok,137
Ebastine,7.218,4.016,9.337,101.911,469.7,61.2,98.7,High,ok,138
Ciclesonide,4.704,4.014,1.353,107.227,540.7,94.7,98.7,High,ok,139
Octinoxate,4.468,4.049,5.395,103.034,290.4,70.7,98.7,High,ok,140
Nelfinavir,4.748,4.014,4.284,103.549,567.8,74.7,98.7,High,ok,141
Rilzabrutinib,4.415,4.011,6.796,101.712,665.8,66.7,98.7,High,domain-edge (prediction unreliable),142
Avobenzone,4.448,3.966,-0.197,106.022,310.4,100.0,98.6,High,ok,143
Tapinarof,4.392,3.995,2.002,99.781,254.3,87.9,98.6,High,ok,144
Regorafenib,5.689,3.957,7.603,98.933,482.8,64.8,98.6,High,ok,145
Bromocriptine,3.193,4.001,9.465,99.668,654.6,61.0,98.6,High,domain-edge (prediction unreliable),146
Scarlet red,7.993,3.987,0.409,103.524,380.5,100.0,98.6,High,ok,147
Isopropyl myristate,5.639,3.953,11.697,100.635,270.5,60.0,98.6,High,ok,148
Felodipine,3.964,3.983,6.121,101.737,384.3,68.5,98.6,High,ok,149
Drostanolone propionate,5.166,3.954,2.833,102.38,360.5,81.9,98.6,High,ok,150
Ibrutinib,4.217,4.0,0.799,103.047,440.5,100.0,98.6,High,ok,151
Ethynodiol diacetate,4.426,3.982,1.911,103.533,384.5,88.8,98.6,High,ok,152
Lapatinib,6.139,3.975,9.655,101.965,581.1,60.6,98.6,High,ok,153
Carfilzomib,2.584,3.958,3.909,102.076,719.9,76.3,98.6,High,domain-edge (prediction unreliable),154
Sertaconazole,7.016,4.004,14.601,96.915,437.8,60.0,98.6,High,ok,155
Mestranol,3.916,3.959,2.704,101.131,310.4,82.7,98.6,High,ok,156
Mifepristone,5.407,3.984,5.014,102.4,429.6,72.0,98.6,High,ok,157
Octisalate,3.765,3.964,5.924,100.302,250.3,69.1,98.6,High,ok,158
Clevidipine,4.245,3.969,5.322,104.687,456.3,71.0,98.6,High,ok,159
Cyclomethicone 5,3.592,3.981,9.376,90.75,370.8,61.1,98.6,High,ok,160
Etravirine,4.717,3.914,0.96,103.072,435.3,100.0,98.5,High,ok,161
Fluticasone propionate,4.43,3.908,2.937,98.983,500.6,81.3,98.5,High,ok,162
Enzacamene,4.404,3.926,2.487,97.721,254.4,84.2,98.5,High,ok,163
