name,class,logP,logD,Vd_Lkg,PPB,MW,ILE_score,ILE_prob,ILE_kategori,AD,kalibrasyonda,ref_etiket,klinik_not
ergocalciferol (D2),Yağda çözünen vitamin,7.641000000000008,4.6769915,7.4553847,100.0,396.6590000000001,65.1,99.5,Yüksek,ok,hayır,,Hiperkalsemi downstream
cholecalciferol (D3),Yağda çözünen vitamin,7.619000000000008,4.597633,10.155252,100.0,384.6480000000002,60.0,99.4,Yüksek,ok,hayır,,Hiperkalsemi downstream; akut ILE sınırlı
alpha-tocopherol (E),Yağda çözünen vitamin,8.840260000000002,4.569084,16.615982,100.0,430.7170000000003,60.0,99.4,Yüksek,ok,hayır,,
permethrin,Organofosfat/Karbamat,6.113300000000004,4.4340086,5.6203384,100.0,391.2940000000001,70.0,99.3,Yüksek,ok,hayır,,
phytonadione (K1),Yağda çözünen vitamin,9.1576,4.4599695,12.221076,100.0,450.7070000000002,60.0,99.3,Yüksek,ok,hayır,,
lurasidone,Antipsikotik,4.255800000000003,4.376587,2.1589782,100.0,492.68900000000025,86.6,99.2,Yüksek,ok,hayır,,
chlorpyrifos,Organofosfat,4.718100000000002,4.1468945,12.236392,93.71136,350.591,60.0,98.9,Yüksek,ok,hayır,,Atropin+pralidoksim
felodipine,Kardiyak,3.9643000000000033,3.983485,6.1213336,100.0,384.259,68.5,98.6,Yüksek,ok,evet,responder,
aripiprazole,Antipsikotik,4.859300000000005,3.788807,10.229128,100.0,448.39400000000006,60.0,98.2,Yüksek,ok,hayır,,
ziprasidone,Antipsikotik,3.809000000000002,3.782283,4.4015975,100.0,412.9460000000002,74.3,98.2,Yüksek,ok,hayır,,
retinol (A),Yağda çözünen vitamin,5.510300000000006,3.810311,3.7238815,94.71667,286.45900000000006,77.2,98.2,Yüksek,ok,hayır,,
calcitriol,Yağda çözünen vitamin,5.704700000000008,3.8129082,7.829895,98.39876,416.6460000000002,64.2,98.2,Yüksek,ok,hayır,,Hiperkalsemi downstream
nicardipine,Kardiyak,3.677800000000002,3.801056,2.7047691,100.0,479.5330000000002,82.7,98.2,Yüksek,ok,evet,responder,
dronedarone,Kardiyak,7.0490000000000075,3.7440572,22.361752,99.380615,556.7690000000005,60.0,98.1,Yüksek,ok,hayır,,
thioridazine,Antipsikotik,5.885600000000005,3.669458,9.458063,100.0,370.587,61.0,97.9,Yüksek,ok,hayır,,
nimodipine,Kardiyak,2.9708000000000014,3.6035361,5.0939765,97.75722,418.44600000000014,71.7,97.7,Yüksek,ok,hayır,,
amiodarone,Kardiyak,6.936200000000007,3.5605648,43.285877,91.314354,645.3190000000002,60.0,97.5,Yüksek,domain-kenarı (tahmin belirsiz),hayır,,
limonene,Terpen/diğer,3.308900000000002,3.2665036,3.8860672,81.19765,136.23799999999997,76.4,96.3,Yüksek,ok,hayır,,
loxapine,Antipsikotik,3.7714000000000025,3.2209709,12.149331,93.78779,327.8150000000001,60.0,96.1,Yüksek,ok,evet,responder,
chlorpromazine,Antipsikotik,4.894400000000004,3.210977,13.292618,95.13185,318.8730000000001,60.0,96.0,Yüksek,ok,evet,responder,
parathion,Organofosfat,3.2711000000000023,3.186409,0.4503313,70.26894,291.265,100.0,95.9,Yüksek,ok,hayır,,Atropin+pralidoksim
oleandrin,Bitkisel alkaloid - kardiyotoksik,3.681000000000003,3.1710691,4.3543158,96.55908,576.7270000000004,74.4,95.8,Yüksek,ok,hayır,,Zakkum glikoziti; Fab denenir
alpha-pinene (turpentine),Terpen/diğer,2.9987000000000013,3.103155,5.0187445,78.654686,136.238,72.0,95.4,Yüksek,ok,hayır,,
clomipramine,Antidepresan,4.528400000000004,3.076704,12.333349,93.9924,314.86,60.0,95.3,Yüksek,ok,evet,responder,
diazinon,Organofosfat,3.5847200000000026,3.0802336,2.8768277,73.185875,304.35200000000003,81.6,95.3,Yüksek,ok,hayır,,Atropin+pralidoksim
sertraline,Antidepresan,5.179600000000004,3.0876613,14.146609,92.75796,306.236,60.0,95.3,Yüksek,ok,evet,responder,
midazolam,Benzodiazepin/Sedatif,4.324220000000002,3.0593019,4.52391,90.924805,325.77400000000006,73.8,95.2,Yüksek,ok,hayır,,
naphthalene,Terpen/diğer,2.839800000000001,3.001189,1.0447,81.23643,128.17399999999995,99.2,94.8,Yüksek,ok,hayır,,
n-octane,Alifatik HC,3.3668000000000022,3.0020494,9.266637,78.989296,114.232,61.3,94.8,Yüksek,ok,hayır,,
ergotamine,Bitkisel alkaloid - diğer,1.990800000000002,2.9964414,2.233238,93.14696,581.6730000000001,85.9,94.7,Yüksek,ok,hayır,,
trazodone,Antidepresan,2.3617,2.9644864,6.808648,88.76622,371.8720000000001,65.9,94.5,Yüksek,ok,hayır,,
clozapine,Antipsikotik,3.7227000000000023,2.9322574,13.220461,90.93022,326.83100000000013,58.6,94.3,Yüksek,ok,evet,responder,
carvedilol,Kardiyak,3.738000000000002,2.92303,5.0119104,100.0,406.482,70.2,94.2,Yüksek,ok,evet,responder,
verapamil,Kardiyak,5.093080000000005,2.9059033,4.232389,83.55342,454.6110000000002,72.6,94.1,Yüksek,ok,evet,responder,
promethazine,Antihistaminik/Antikolinerjik,4.239400000000003,2.8935318,5.519824,86.08782,284.428,67.8,94.0,Yüksek,ok,hayır,,
hydroxyzine,Antihistaminik/Antikolinerjik,3.055900000000001,2.888451,16.028366,88.788956,374.91200000000015,57.8,93.9,Yüksek,ok,hayır,,
amitriptyline,Antidepresan,4.168600000000003,2.8326228,4.479927,89.3065,277.411,69.8,93.5,Yüksek,ok,evet,responder,
trimipramine,Antidepresan,4.121000000000003,2.7911468,4.7259216,87.221664,294.442,67.9,93.1,Yüksek,ok,evet,responder,
n-heptane,Alifatik HC,2.976700000000002,2.7602236,8.322264,73.01431,100.205,58.1,92.8,Yüksek,ok,hayır,,
haloperidol,Antipsikotik,4.425600000000004,2.7435982,13.053484,86.16716,375.87100000000015,54.9,92.7,Yüksek,ok,evet,responder,
olanzapine,Antipsikotik,3.4392200000000033,2.7323215,6.40693,88.68605,312.4420000000001,61.7,92.6,Yüksek,ok,evet,responder,
cyclobenzaprine,Kas gevşetici,4.553800000000004,2.7291725,5.8565803,89.63025,275.39500000000004,63.0,92.5,Yüksek,ok,evet,responder,
zolpidem,Benzodiazepin/Sedatif,3.2488400000000013,2.662147,1.0009384,85.916214,307.39700000000005,88.7,91.9,Yüksek,ok,hayır,,
tetrachloroethylene,Halojenli HC,3.0682,2.6622086,9.968485,60.304127,165.834,53.3,91.9,Yüksek,ok,hayır,,
nifedipine,Kardiyak,2.1756,2.6215343,-0.8947155,95.87877,346.33900000000006,87.4,91.4,Yüksek,ok,evet,responder,
carbaryl,Organofosfat/Karbamat,2.5580000000000007,2.6126568,-2.8235252,82.16465,201.225,87.1,91.3,Yüksek,ok,hayır,,Atropin+pralidoksim
berberine,Bitkisel alkaloid - diğer,3.096300000000001,2.597356,8.520243,89.469986,336.3670000000001,54.4,91.2,Yüksek,ok,hayır,,
diazepam,Benzodiazepin/Sedatif,3.153800000000002,2.5972304,1.9271256,90.78731,284.74600000000004,76.7,91.2,Yüksek,ok,hayır,,
fentanyl,Analjezik/Opioid,4.136700000000004,2.5880413,-0.19913311,76.63721,336.47900000000004,86.3,91.1,Yüksek,ok,hayır,,Nalokson; ILE deneysel
o-xylene,Aromatik HC,2.30344,2.5538263,2.6720967,69.7259,106.16799999999999,70.6,90.7,Yüksek,ok,hayır,,
