name,ile_label,evidence,source
bupivacaine,1,responder,literature-consensus (expert-assigned)
levobupivacaine,1,responder,literature-consensus (expert-assigned)
ropivacaine,1,responder,literature-consensus (expert-assigned)
mepivacaine,1,responder,literature-consensus (expert-assigned)
lidocaine,1,responder,literature-consensus (expert-assigned)
dibucaine,1,responder,literature-consensus (expert-assigned)
tetracaine,1,responder,literature-consensus (expert-assigned)
amitriptyline,1,responder,literature-consensus (expert-assigned)
nortriptyline,1,responder,literature-consensus (expert-assigned)
imipramine,1,responder,literature-consensus (expert-assigned)
clomipramine,1,responder,literature-consensus (expert-assigned)
doxepin,1,responder,literature-consensus (expert-assigned)
desipramine,1,responder,literature-consensus (expert-assigned)
trimipramine,1,responder,literature-consensus (expert-assigned)
amoxapine,1,responder,literature-consensus (expert-assigned)
maprotiline,1,responder,literature-consensus (expert-assigned)
verapamil,1,responder,literature-consensus (expert-assigned)
diltiazem,1,responder,literature-consensus (expert-assigned)
amlodipine,1,responder,literature-consensus (expert-assigned)
nifedipine,1,responder,literature-consensus (expert-assigned)
felodipine,1,responder,literature-consensus (expert-assigned)
nicardipine,1,responder,literature-consensus (expert-assigned)
propranolol,1,responder,literature-consensus (expert-assigned)
carvedilol,1,responder,literature-consensus (expert-assigned)
nebivolol,1,responder,literature-consensus (expert-assigned)
metoprolol,1,responder,literature-consensus (expert-assigned)
quetiapine,1,responder,literature-consensus (expert-assigned)
olanzapine,1,responder,literature-consensus (expert-assigned)
haloperidol,1,responder,literature-consensus (expert-assigned)
chlorpromazine,1,responder,literature-consensus (expert-assigned)
clozapine,1,responder,literature-consensus (expert-assigned)
loxapine,1,responder,literature-consensus (expert-assigned)
flecainide,1,responder,literature-consensus (expert-assigned)
propafenone,1,responder,literature-consensus (expert-assigned)
quinidine,1,responder,literature-consensus (expert-assigned)
chloroquine,1,responder,literature-consensus (expert-assigned)
hydroxychloroquine,1,responder,literature-consensus (expert-assigned)
quinine,1,responder,literature-consensus (expert-assigned)
bupropion,1,responder,literature-consensus (expert-assigned)
diphenhydramine,1,responder,literature-consensus (expert-assigned)
cocaine,1,responder,literature-consensus (expert-assigned)
cyclobenzaprine,1,responder,literature-consensus (expert-assigned)
dextromethorphan,1,responder,literature-consensus (expert-assigned)
sertraline,1,responder,literature-consensus (expert-assigned)
metformin,0,non-responder,literature-consensus (expert-assigned)
atenolol,0,non-responder,literature-consensus (expert-assigned)
sotalol,0,non-responder,literature-consensus (expert-assigned)
nadolol,0,non-responder,literature-consensus (expert-assigned)
methanol,0,non-responder,literature-consensus (expert-assigned)
ethanol,0,non-responder,literature-consensus (expert-assigned)
ethylene glycol,0,non-responder,literature-consensus (expert-assigned)
isopropanol,0,non-responder,literature-consensus (expert-assigned)
acetaminophen,0,non-responder,literature-consensus (expert-assigned)
aspirin,0,non-responder,literature-consensus (expert-assigned)
salicylic acid,0,non-responder,literature-consensus (expert-assigned)
morphine,0,non-responder,literature-consensus (expert-assigned)
codeine,0,non-responder,literature-consensus (expert-assigned)
gabapentin,0,non-responder,literature-consensus (expert-assigned)
pregabalin,0,non-responder,literature-consensus (expert-assigned)
levetiracetam,0,non-responder,literature-consensus (expert-assigned)
valproic acid,0,non-responder,literature-consensus (expert-assigned)
digoxin,0,non-responder,literature-consensus (expert-assigned)
losartan,0,non-responder,literature-consensus (expert-assigned)
valsartan,0,non-responder,literature-consensus (expert-assigned)
glyburide,0,non-responder,literature-consensus (expert-assigned)
glipizide,0,non-responder,literature-consensus (expert-assigned)
gliclazide,0,non-responder,literature-consensus (expert-assigned)
warfarin,0,non-responder,literature-consensus (expert-assigned)
colchicine,0,non-responder,literature-consensus (expert-assigned)
metoclopramide,0,non-responder,literature-consensus (expert-assigned)
theophylline,0,non-responder,literature-consensus (expert-assigned)
caffeine,0,non-responder,literature-consensus (expert-assigned)
pseudoephedrine,0,non-responder,literature-consensus (expert-assigned)
ephedrine,0,non-responder,literature-consensus (expert-assigned)
amphetamine,0,non-responder,literature-consensus (expert-assigned)
baclofen,0,non-responder,literature-consensus (expert-assigned)
